date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-10-02,stochastic,True,1.13686837722e-13,7.74491581979e-13,0,0,0,1200,9869.01676071,833.333333333,812.776190476,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000288176923156,35,1,720,2880,2.17232809518e-09
2025-10-03,stochastic,True,5.68434188608e-14,7.38964445191e-13,0,0,0,2714.66430235,10800,833.333333333,498.67565,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,6.62763991774e-05,32,1,720,2880,2.7694113669e-10
2025-10-04,stochastic,True,1.13686837722e-13,8.52651282912e-13,0,0,0,4110.97919437,10800,833.333333333,474.425952381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000266087980831,37,1,720,2880,9.77706804406e-12
2025-10-05,stochastic,True,2.27373675443e-13,3.97903932026e-13,0,0,0,1200,8025.66177825,833.333333333,782.898014286,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,9.49697093896e-05,35,1,720,2880,9.98170435196e-11
2025-10-06,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6472.9535337,833.333333333,789.229216667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00013743781884,23,1,576,2880,2.09320205613e-09
2025-10-07,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6673.72432016,833.333333333,788.47547619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000137738288267,31,1,864,2880,9.89075488178e-10
2025-10-08,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6942.43858209,833.333333333,793.801561905,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000212815782822,35,1,864,2880,4.08590494771e-10
2025-10-09,stochastic,True,1.13686837722e-13,4.29878355135e-13,0,0,0,1200,7402.96981045,833.333333333,804.008283333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000558665354263,28,1,864,2880,3.98358679377e-10
2025-10-10,stochastic,True,1.13686837722e-13,7.38964445191e-13,0,0,0,1505.68042188,10800,833.333333333,471.351516667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000313788278646,27,1,864,2880,1.73599801201e-10
2025-10-11,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,4240.4536922,10800,833.333333333,496.548333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000719581107845,34,1,864,2880,5.25801624462e-10
2025-10-12,stochastic,True,2.27373675443e-13,3.97903932026e-13,0,0,0,1200,6852.86720565,829.378611905,827.4006,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000496994371714,32,1,720,2880,7.46922523831e-11
2025-10-13,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6387.34227481,833.333333333,805.401428571,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000275871393629,40,1,720,2880,1.60753188538e-10
2025-10-14,stochastic,True,1.13686837722e-13,4.4320103143e-13,0,0,0,1200,6149.99228976,811.822709524,808.736316667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000671722574159,26,1,1008,2880,7.96603671915e-10
2025-10-15,stochastic,True,1.27897692437e-13,3.97903932026e-13,0,0,0,1200,6287.12824258,811.332357143,785.34195,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000207855644091,35,1,864,2880,1.95620941668e-09
2025-10-16,stochastic,True,1.38555833473e-13,4.54747350886e-13,0,0,0,1200,6265.53644098,833.333333333,798.736316667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.49888118749e-05,37,1,864,2880,2.63753463514e-11
2025-10-17,stochastic,True,1.13686837722e-13,7.95807864051e-13,0,0,0,1655.12750914,10800,833.333333333,486.102316667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.9375539094e-05,34,1,576,2880,3.67492702935e-09
2025-10-18,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,4556.70245828,10800,833.333333333,466.400033333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000460879232207,35,1,864,2880,1.2193368093e-08
2025-10-19,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6858.44353025,833.333333333,825.560833333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,5.33684864109e-05,35,1,576,2880,1.13141140901e-09
2025-10-20,stochastic,True,1.13686837722e-13,4.40536496171e-13,0,0,0,1200,6890.14674378,833.333333333,819.677566667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.98940807894e-05,30,1,576,2880,5.1313691074e-09
